question_id,question,category,complexity,manual_type,language,OpenSource RAG_OVERALL_SCORE,OpenAI CLIP RAG_OVERALL_SCORE,OpenAI Vision RAG_OVERALL_SCORE,Hybrid RAG_OVERALL_SCORE,best_OVERALL_SCORE,worst_OVERALL_SCORE,diff_OVERALL_SCORE,OpenSource RAG_RELEVANCE,OpenAI CLIP RAG_RELEVANCE,OpenAI Vision RAG_RELEVANCE,Hybrid RAG_RELEVANCE,best_RELEVANCE,worst_RELEVANCE,diff_RELEVANCE,OpenSource RAG_CORRECTNESS,OpenAI CLIP RAG_CORRECTNESS,OpenAI Vision RAG_CORRECTNESS,Hybrid RAG_CORRECTNESS,best_CORRECTNESS,worst_CORRECTNESS,diff_CORRECTNESS,OpenSource RAG_COMPLETENESS,OpenAI CLIP RAG_COMPLETENESS,OpenAI Vision RAG_COMPLETENESS,Hybrid RAG_COMPLETENESS,best_COMPLETENESS,worst_COMPLETENESS,diff_COMPLETENESS,OpenSource RAG_CONCISENESS,OpenAI CLIP RAG_CONCISENESS,OpenAI Vision RAG_CONCISENESS,Hybrid RAG_CONCISENESS,best_CONCISENESS,worst_CONCISENESS,diff_CONCISENESS
wifi_manual_troubleshooting_1_0,I'm having trouble connecting to the ASUGI_TEST Wi-Fi network. What should I check in the configuration?,troubleshooting,medium,wifi_manual,english,7.0,7.3,7.0,7.0,OpenAI CLIP RAG,OpenSource RAG,0.2999999999999998,8.0,8.0,8.0,8.0,OpenSource RAG,OpenSource RAG,0.0,6.0,7.0,6.0,6.0,OpenAI CLIP RAG,OpenSource RAG,1.0,7.0,6.0,7.0,7.0,OpenSource RAG,OpenAI CLIP RAG,1.0,5.0,5.0,5.0,5.0,OpenSource RAG,OpenSource RAG,0.0
wifi_manual_conceptual_0_0,What is the purpose of the 'Mobility Conductor' in the Wi-Fi infrastructure?,conceptual,medium,wifi_manual,english,9.2,9.3,9.3,9.67,Hybrid RAG,OpenSource RAG,0.47000000000000064,10.0,10.0,10.0,10.0,OpenSource RAG,OpenSource RAG,0.0,9.0,10.0,10.0,10.0,OpenAI CLIP RAG,OpenSource RAG,1.0,9.0,9.0,9.0,9.0,OpenSource RAG,OpenSource RAG,0.0,8.0,8.0,8.0,9.0,Hybrid RAG,OpenSource RAG,1.0
wifi_manual_security_2_4,How can you monitor the health and performance of connected clients?,security,simple,wifi_manual,english,5.2,8.7,8.7,8.7,OpenAI CLIP RAG,OpenSource RAG,3.499999999999999,5.0,9.0,9.0,9.0,OpenAI CLIP RAG,OpenSource RAG,4.0,3.0,8.0,8.0,8.0,OpenAI CLIP RAG,OpenSource RAG,5.0,4.0,9.0,9.0,9.0,OpenAI CLIP RAG,OpenSource RAG,5.0,4.0,7.0,7.0,7.0,OpenAI CLIP RAG,OpenSource RAG,3.0
wifi_manual_factual_0_2,What are the authentication settings required for connecting to a wireless network?,factual,complex,wifi_manual,english,8.0,8.0,5.2,8.2,Hybrid RAG,OpenAI Vision RAG,2.999999999999999,8.0,8.0,5.0,8.0,OpenSource RAG,OpenAI Vision RAG,3.0,7.0,7.0,4.0,7.0,OpenSource RAG,OpenAI Vision RAG,3.0,8.0,9.0,3.0,9.0,OpenAI CLIP RAG,OpenAI Vision RAG,6.0,6.0,6.0,6.0,6.0,OpenSource RAG,OpenSource RAG,0.0
wifi_manual_configuration_2_3,What is the procedure to access the Mobility Conductor?,configuration,simple,wifi_manual,english,8.2,8.5,8.5,8.2,OpenAI CLIP RAG,OpenSource RAG,0.3000000000000007,8.0,9.0,9.0,8.0,OpenAI CLIP RAG,OpenSource RAG,1.0,7.0,8.0,8.0,7.0,OpenAI CLIP RAG,OpenSource RAG,1.0,8.0,7.0,8.0,7.0,OpenSource RAG,OpenAI CLIP RAG,1.0,7.0,8.0,7.0,8.0,OpenAI CLIP RAG,OpenSource RAG,1.0
wifi_manual_optimization_0_0,Come posso ottimizzare le impostazioni di sicurezza per la mia WLAN per migliorare le prestazioni?,optimization,medium,wifi_manual,italian,8.7,8.0,8.0,8.0,OpenSource RAG,OpenAI CLIP RAG,0.6999999999999993,9.0,8.0,8.0,8.0,OpenSource RAG,OpenAI CLIP RAG,1.0,8.0,7.0,7.0,7.0,OpenSource RAG,OpenAI CLIP RAG,1.0,9.0,8.0,8.0,8.0,OpenSource RAG,OpenAI CLIP RAG,1.0,7.0,6.0,6.0,6.0,OpenSource RAG,OpenAI CLIP RAG,1.0
wifi_manual_technical_1_1,Come si può verificare lo stato della connessione dei client nel Mobility Conductor?,technical,simple,wifi_manual,italian,8.3,9.2,9.3,9.2,OpenAI Vision RAG,OpenSource RAG,1.0,8.0,10.0,10.0,10.0,OpenAI CLIP RAG,OpenSource RAG,2.0,7.0,9.0,9.0,9.0,OpenAI CLIP RAG,OpenSource RAG,2.0,8.0,9.0,9.0,9.0,OpenAI CLIP RAG,OpenSource RAG,1.0,8.0,8.0,8.0,8.0,OpenSource RAG,OpenSource RAG,0.0
wifi_manual_configuration_0_0,Come posso connettermi manualmente a una rete wireless nascosta utilizzando il profilo ASUGI_TEST?,configuration,medium,wifi_manual,italian,9.0,8.5,8.8,8.5,OpenSource RAG,OpenAI CLIP RAG,0.5,10.0,9.0,10.0,9.0,OpenSource RAG,OpenAI CLIP RAG,1.0,9.0,8.0,8.0,8.0,OpenSource RAG,OpenAI CLIP RAG,1.0,9.0,9.0,9.0,9.0,OpenSource RAG,OpenSource RAG,0.0,7.0,6.0,7.0,6.0,OpenSource RAG,OpenAI CLIP RAG,1.0
wifi_manual_technical_0_4,Qual è il requisito di configurazione per gli access point riguardo alla loro connessione al Wireless Controller?,technical,complex,wifi_manual,italian,9.0,3.5,5.8,9.0,OpenSource RAG,OpenAI CLIP RAG,5.5,9.0,3.0,6.0,9.0,OpenSource RAG,OpenAI CLIP RAG,6.0,9.0,2.0,4.0,9.0,OpenSource RAG,OpenAI CLIP RAG,7.0,9.0,2.0,5.0,9.0,OpenSource RAG,OpenAI CLIP RAG,7.0,8.0,5.0,7.0,8.0,OpenSource RAG,OpenAI CLIP RAG,3.0
wifi_manual_technical_1_4,Quale configurazione è richiesta per gli Access Points secondo il manuale?,technical,complex,wifi_manual,italian,6.5,7.5,8.0,8.7,Hybrid RAG,OpenSource RAG,2.1999999999999993,6.0,8.0,8.0,9.0,Hybrid RAG,OpenSource RAG,3.0,5.0,7.0,7.0,8.0,Hybrid RAG,OpenSource RAG,3.0,5.0,6.0,8.0,9.0,Hybrid RAG,OpenSource RAG,4.0,7.0,7.0,6.0,7.0,OpenSource RAG,OpenAI Vision RAG,1.0
wifi_manual_comparative_0_1,In che modo il processo di verifica della connessione differisce tra il Mobility Conductor e la configurazione del terminale?,comparative,complex,wifi_manual,italian,8.7,9.3,8.7,9.0,OpenAI CLIP RAG,OpenSource RAG,0.6000000000000014,9.0,10.0,9.0,9.0,OpenAI CLIP RAG,OpenSource RAG,1.0,8.0,9.0,8.0,9.0,OpenAI CLIP RAG,OpenSource RAG,1.0,9.0,9.0,9.0,9.0,OpenSource RAG,OpenSource RAG,0.0,7.0,8.0,7.0,8.0,OpenAI CLIP RAG,OpenSource RAG,1.0
wifi_manual_technical_1_2,Qual è il ruolo degli Aruba Wireless Controllers nell'infrastruttura Wi-Fi?,technical,medium,wifi_manual,italian,8.7,8.8,8.7,8.7,OpenAI CLIP RAG,OpenSource RAG,0.10000000000000142,9.0,9.0,9.0,9.0,OpenSource RAG,OpenSource RAG,0.0,8.0,8.0,8.0,8.0,OpenSource RAG,OpenSource RAG,0.0,9.0,9.0,9.0,9.0,OpenSource RAG,OpenSource RAG,0.0,7.0,8.0,7.0,7.0,OpenAI CLIP RAG,OpenSource RAG,1.0
wifi_manual_security_0_2,Quali passaggi devono essere seguiti per configurare una connessione sicura utilizzando PEAP?,security,medium,wifi_manual,italian,6.5,7.0,7.8,7.0,OpenAI Vision RAG,OpenSource RAG,1.2999999999999998,7.0,7.0,8.0,7.0,OpenAI Vision RAG,OpenSource RAG,1.0,6.0,6.0,7.0,6.0,OpenAI Vision RAG,OpenSource RAG,1.0,5.0,8.0,8.0,8.0,OpenAI CLIP RAG,OpenSource RAG,3.0,4.0,5.0,6.0,5.0,OpenAI Vision RAG,OpenSource RAG,2.0
wifi_manual_troubleshooting_2_3,Come faccio a impostare la VLAN corretta per i miei access point?,troubleshooting,medium,wifi_manual,italian,8.7,7.5,8.7,8.0,OpenSource RAG,OpenAI CLIP RAG,1.1999999999999993,9.0,8.0,8.0,8.0,OpenSource RAG,OpenAI CLIP RAG,1.0,8.0,7.0,9.0,7.0,OpenAI Vision RAG,OpenAI CLIP RAG,2.0,9.0,6.0,9.0,8.0,OpenSource RAG,OpenAI CLIP RAG,3.0,7.0,7.0,7.0,7.0,OpenSource RAG,OpenSource RAG,0.0
wifi_manual_conceptual_2_1,In che modo il Mobility Conductor facilita la gestione della rete?,conceptual,medium,wifi_manual,italian,9.2,9.3,9.2,9.0,OpenAI CLIP RAG,Hybrid RAG,0.3000000000000007,10.0,10.0,9.0,9.0,OpenSource RAG,OpenAI Vision RAG,1.0,9.0,9.0,9.0,9.0,OpenSource RAG,OpenSource RAG,0.0,9.0,9.0,9.0,10.0,Hybrid RAG,OpenSource RAG,1.0,8.0,8.0,8.0,7.0,OpenSource RAG,Hybrid RAG,1.0
wifi_manual_troubleshooting_1_1,Come posso controllare se il mio dispositivo è connesso correttamente alla rete Wi-Fi?,troubleshooting,simple,wifi_manual,italian,9.2,8.8,8.7,8.7,OpenSource RAG,OpenAI Vision RAG,0.5,9.0,9.0,9.0,9.0,OpenSource RAG,OpenSource RAG,0.0,9.0,9.0,8.0,8.0,OpenSource RAG,OpenAI Vision RAG,1.0,9.0,9.0,9.0,9.0,OpenSource RAG,OpenSource RAG,0.0,8.0,7.0,7.0,7.0,OpenSource RAG,OpenAI CLIP RAG,1.0
wifi_manual_configuration_1_4,Quali passaggi devo seguire per configurare la sicurezza 802.1X per una connessione wireless?,configuration,complex,wifi_manual,italian,8.0,8.7,7.8,7.8,OpenAI CLIP RAG,OpenAI Vision RAG,0.8999999999999995,8.0,9.0,8.0,8.0,OpenAI CLIP RAG,OpenSource RAG,1.0,7.0,8.0,7.0,7.0,OpenAI CLIP RAG,OpenSource RAG,1.0,8.0,9.0,8.0,8.0,OpenAI CLIP RAG,OpenSource RAG,1.0,6.0,7.0,6.0,6.0,OpenAI CLIP RAG,OpenSource RAG,1.0
wifi_manual_conceptual_2_4,Come viene realizzata la ridondanza nell'infrastruttura wireless?,conceptual,complex,wifi_manual,italian,8.7,9.0,8.7,8.8,OpenAI CLIP RAG,OpenSource RAG,0.3000000000000007,9.0,9.0,9.0,9.0,OpenSource RAG,OpenSource RAG,0.0,8.0,9.0,8.0,8.0,OpenAI CLIP RAG,OpenSource RAG,1.0,9.0,9.0,9.0,9.0,OpenSource RAG,OpenSource RAG,0.0,7.0,8.0,7.0,8.0,OpenAI CLIP RAG,OpenSource RAG,1.0
wifi_manual_procedural_2_3,Quali configurazioni sono necessarie per impostare un Access Point nella VLAN 11?,procedural,complex,wifi_manual,italian,8.7,8.7,8.7,8.7,OpenSource RAG,OpenSource RAG,0.0,9.0,9.0,9.0,9.0,OpenSource RAG,OpenSource RAG,0.0,8.0,8.0,8.0,8.0,OpenSource RAG,OpenSource RAG,0.0,9.0,9.0,9.0,9.0,OpenSource RAG,OpenSource RAG,0.0,7.0,7.0,7.0,7.0,OpenSource RAG,OpenSource RAG,0.0
VM_manual_optimization_0_4,What steps can be taken to ensure that virtual machine deployments are efficient and timely?,optimization,medium,VM_manual,english,7.8,8.0,8.0,6.3,OpenAI CLIP RAG,Hybrid RAG,1.7000000000000002,8.0,8.0,8.0,6.0,OpenSource RAG,Hybrid RAG,2.0,7.0,7.0,7.0,5.0,OpenSource RAG,Hybrid RAG,2.0,8.0,8.0,8.0,6.0,OpenSource RAG,Hybrid RAG,2.0,6.0,6.0,6.0,4.0,OpenSource RAG,Hybrid RAG,2.0
VM_manual_comparative_1_3,In che modo il processo di verifica della funzionalità della VM differisce dopo il deployment rispetto a durante la configurazione iniziale?,comparative,medium,VM_manual,italian,6.2,7.0,6.7,6.7,OpenAI CLIP RAG,OpenSource RAG,0.7999999999999998,6.0,7.0,7.0,7.0,OpenAI CLIP RAG,OpenSource RAG,1.0,5.0,6.0,5.0,6.0,OpenAI CLIP RAG,OpenSource RAG,1.0,6.0,7.0,6.0,6.0,OpenAI CLIP RAG,OpenSource RAG,1.0,5.0,6.0,6.0,5.0,OpenAI CLIP RAG,OpenSource RAG,1.0
VM_manual_procedural_0_0,How do I create a new VM in Cloud Manager?,procedural,medium,VM_manual,english,8.5,8.7,8.0,8.5,OpenAI CLIP RAG,OpenAI Vision RAG,0.6999999999999993,9.0,9.0,8.0,9.0,OpenSource RAG,OpenAI Vision RAG,1.0,8.0,8.0,7.0,8.0,OpenSource RAG,OpenAI Vision RAG,1.0,9.0,9.0,8.0,9.0,OpenSource RAG,OpenAI Vision RAG,1.0,6.0,7.0,6.0,6.0,OpenAI CLIP RAG,OpenSource RAG,1.0
VM_manual_conceptual_2_2,What actions can be taken from the contextual menu for a VM?,conceptual,medium,VM_manual,english,5.2,5.5,8.7,9.0,Hybrid RAG,OpenSource RAG,3.8,5.0,5.0,9.0,9.0,OpenAI Vision RAG,OpenSource RAG,4.0,4.0,3.0,9.0,9.0,OpenAI Vision RAG,OpenAI CLIP RAG,6.0,3.0,2.0,8.0,9.0,Hybrid RAG,OpenAI CLIP RAG,7.0,6.0,6.0,7.0,8.0,Hybrid RAG,OpenSource RAG,2.0
VM_manual_factual_2_3,What does the 'Status' field indicate during a deployment?,factual,simple,VM_manual,english,9.83,10.0,10.0,9.83,OpenAI CLIP RAG,OpenSource RAG,0.16999999999999993,10.0,10.0,10.0,10.0,OpenSource RAG,OpenSource RAG,0.0,10.0,10.0,10.0,10.0,OpenSource RAG,OpenSource RAG,0.0,10.0,10.0,10.0,10.0,OpenSource RAG,OpenSource RAG,0.0,9.0,10.0,10.0,9.0,OpenAI CLIP RAG,OpenSource RAG,1.0
VM_manual_conceptual_1_1,How can you modify the priority of firewall rules in VMware NSX?,conceptual,simple,VM_manual,english,9.2,9.2,9.2,9.3,Hybrid RAG,OpenSource RAG,0.10000000000000142,10.0,10.0,10.0,10.0,OpenSource RAG,OpenSource RAG,0.0,9.0,9.0,9.0,9.0,OpenSource RAG,OpenSource RAG,0.0,9.0,9.0,9.0,9.0,OpenSource RAG,OpenSource RAG,0.0,8.0,8.0,8.0,8.0,OpenSource RAG,OpenSource RAG,0.0
VM_manual_troubleshooting_0_0,How can I modify the priority of a firewall rule in NSX?,troubleshooting,simple,VM_manual,english,9.2,9.2,9.2,9.2,OpenSource RAG,OpenSource RAG,0.0,10.0,10.0,10.0,10.0,OpenSource RAG,OpenSource RAG,0.0,9.0,9.0,9.0,9.0,OpenSource RAG,OpenSource RAG,0.0,9.0,9.0,9.0,9.0,OpenSource RAG,OpenSource RAG,0.0,8.0,8.0,8.0,8.0,OpenSource RAG,OpenSource RAG,0.0
VM_manual_navigation_0_3,What operations can I perform from the context menu for a virtual machine?,navigation,complex,VM_manual,english,5.1,8.5,8.5,8.5,OpenAI CLIP RAG,OpenSource RAG,3.4000000000000004,5.0,9.0,9.0,9.0,OpenAI CLIP RAG,OpenSource RAG,4.0,3.0,8.0,8.0,8.0,OpenAI CLIP RAG,OpenSource RAG,5.0,2.0,8.0,7.0,8.0,OpenAI CLIP RAG,OpenSource RAG,6.0,6.0,7.0,8.0,7.0,OpenAI Vision RAG,OpenSource RAG,2.0
VM_manual_troubleshooting_0_1,What should I do if I encounter issues with resource availability when creating a VM?,troubleshooting,medium,VM_manual,english,8.0,8.7,7.8,7.8,OpenAI CLIP RAG,OpenAI Vision RAG,0.8999999999999995,8.0,9.0,8.0,8.0,OpenAI CLIP RAG,OpenSource RAG,1.0,7.0,8.0,7.0,7.0,OpenAI CLIP RAG,OpenSource RAG,1.0,8.0,9.0,8.0,8.0,OpenAI CLIP RAG,OpenSource RAG,1.0,6.0,7.0,6.0,6.0,OpenAI CLIP RAG,OpenSource RAG,1.0
VM_manual_procedural_0_4,How do I check the status of a VM deployment?,procedural,simple,VM_manual,english,8.7,8.8,8.7,8.8,OpenAI CLIP RAG,OpenSource RAG,0.10000000000000142,9.0,9.0,9.0,9.0,OpenSource RAG,OpenSource RAG,0.0,8.0,9.0,8.0,9.0,OpenAI CLIP RAG,OpenSource RAG,1.0,9.0,9.0,9.0,9.0,OpenSource RAG,OpenSource RAG,0.0,7.0,7.0,7.0,7.0,OpenSource RAG,OpenSource RAG,0.0
VM_manual_troubleshooting_1_0,How can I modify the priority of existing firewall rules in VMware NSX?,troubleshooting,simple,VM_manual,english,9.5,9.2,8.7,8.7,OpenSource RAG,OpenAI Vision RAG,0.8000000000000007,10.0,10.0,9.0,9.0,OpenSource RAG,OpenAI Vision RAG,1.0,9.0,9.0,8.0,8.0,OpenSource RAG,OpenAI Vision RAG,1.0,9.0,9.0,9.0,9.0,OpenSource RAG,OpenSource RAG,0.0,9.0,8.0,7.0,7.0,OpenSource RAG,OpenAI Vision RAG,2.0
VM_manual_conceptual_0_0,What are the steps to create a new Virtual Machine (VM) in the cloud manager?,conceptual,medium,VM_manual,english,8.0,8.7,8.5,8.3,OpenAI CLIP RAG,OpenSource RAG,0.6999999999999993,8.0,9.0,9.0,9.0,OpenAI CLIP RAG,OpenSource RAG,1.0,7.0,8.0,8.0,8.0,OpenAI CLIP RAG,OpenSource RAG,1.0,8.0,9.0,9.0,9.0,OpenAI CLIP RAG,OpenSource RAG,1.0,6.0,7.0,6.0,6.0,OpenAI CLIP RAG,OpenSource RAG,1.0
VM_manual_security_2_4,What are the implications of assigning tags to VMs in VMware NSX?,security,medium,VM_manual,english,8.7,8.7,8.7,8.7,OpenSource RAG,OpenSource RAG,0.0,9.0,9.0,9.0,9.0,OpenSource RAG,OpenSource RAG,0.0,8.0,8.0,8.0,8.0,OpenSource RAG,OpenSource RAG,0.0,9.0,9.0,9.0,9.0,OpenSource RAG,OpenSource RAG,0.0,7.0,7.0,7.0,7.0,OpenSource RAG,OpenSource RAG,0.0
VM_manual_factual_0_2,What steps must be taken to access the Cloud INSIEL and subsequently the Cloud Manager?,factual,simple,VM_manual,english,6.0,6.0,6.0,6.7,Hybrid RAG,OpenSource RAG,0.7000000000000002,6.0,6.0,6.0,7.0,Hybrid RAG,OpenSource RAG,1.0,4.0,4.0,4.0,5.0,Hybrid RAG,OpenSource RAG,1.0,5.0,5.0,5.0,6.0,Hybrid RAG,OpenSource RAG,1.0,6.0,6.0,7.0,6.0,OpenAI Vision RAG,OpenSource RAG,1.0
VM_manual_configuration_2_3,What is the procedure for resizing the boot disk of a VM?,configuration,medium,VM_manual,english,9.5,9.5,9.5,9.0,OpenSource RAG,Hybrid RAG,0.5,10.0,10.0,10.0,9.0,OpenSource RAG,Hybrid RAG,1.0,9.0,9.0,9.0,9.0,OpenSource RAG,OpenSource RAG,0.0,10.0,10.0,10.0,9.0,OpenSource RAG,Hybrid RAG,1.0,8.0,8.0,8.0,8.0,OpenSource RAG,OpenSource RAG,0.0
VM_manual_optimization_0_0,Quali strategie possono essere implementate per ottimizzare le prestazioni delle regole firewall in VMware NSX?,optimization,medium,VM_manual,italian,8.8,9.0,8.7,8.8,OpenAI CLIP RAG,OpenAI Vision RAG,0.3000000000000007,9.0,9.0,9.0,9.0,OpenSource RAG,OpenSource RAG,0.0,8.0,9.0,8.0,8.0,OpenAI CLIP RAG,OpenSource RAG,1.0,9.0,9.0,9.0,9.0,OpenSource RAG,OpenSource RAG,0.0,8.0,8.0,7.0,8.0,OpenSource RAG,OpenAI Vision RAG,1.0
VM_manual_technical_1_1,Come si può modificare la priorità delle regole firewall all'interno di un criterio in VMware NSX?,technical,medium,VM_manual,italian,9.3,9.2,9.5,9.5,OpenAI Vision RAG,OpenAI CLIP RAG,0.3000000000000007,10.0,10.0,10.0,10.0,OpenSource RAG,OpenSource RAG,0.0,9.0,9.0,9.0,9.0,OpenSource RAG,OpenSource RAG,0.0,8.0,8.0,9.0,9.0,OpenAI Vision RAG,OpenSource RAG,1.0,9.0,9.0,9.0,9.0,OpenSource RAG,OpenSource RAG,0.0
VM_manual_configuration_0_0,Come posso modificare la priorità delle regole firewall in VMware NSX?,configuration,medium,VM_manual,italian,9.5,8.8,9.5,9.0,OpenSource RAG,OpenAI CLIP RAG,0.6999999999999993,10.0,9.0,10.0,9.0,OpenSource RAG,OpenAI CLIP RAG,1.0,9.0,8.0,9.0,9.0,OpenSource RAG,OpenAI CLIP RAG,1.0,9.0,9.0,9.0,9.0,OpenSource RAG,OpenSource RAG,0.0,9.0,8.0,9.0,8.0,OpenSource RAG,OpenAI CLIP RAG,1.0
VM_manual_technical_0_4,Come puoi verificare il successo della creazione di una macchina virtuale?,technical,simple,VM_manual,italian,8.7,8.2,8.7,9.5,Hybrid RAG,OpenAI CLIP RAG,1.3000000000000007,9.0,8.0,9.0,10.0,Hybrid RAG,OpenAI CLIP RAG,2.0,8.0,7.0,8.0,9.0,Hybrid RAG,OpenAI CLIP RAG,2.0,9.0,8.0,9.0,9.0,OpenSource RAG,OpenAI CLIP RAG,1.0,7.0,7.0,7.0,9.0,Hybrid RAG,OpenSource RAG,2.0
